,Identifier,SERIES,Open,High,Low,Close,LAST,PreviousClose,TOTTRDQTY,Turnover (Rs. Cr.),TIMESTAMP,TOTALTRADES,ISIN,Date,Growth,Historic High,Low From Historic High,Month,Month Open,Month Close,Month Low,Month High,Monthly - Growth,Monthly - Highest Fall From Start,Monthly - Highest Fall From Historic High,Monthly - Highest Rise From Start,Monthly - Turnover,Year,Year Open,Year Close,Year Low,Year High,Annual - Growth,Annual - Highest Fall From Start,Annual - Highest Fall From Historic High,Annual - Highest Rise From Start,Annual - Turnover,ClosePriceDiff,Gain,Loss,AvgGain,AvgLoss,Rs,Rsi,RsiCrossedAbove,RsiCrossedBelow
23553,PIDILITIND,EQ,2670.0,2710.0,2660.45,2700.6,2705.0,2675.95,1397913,3755755865.45,21-JAN-2022,28979,INE318A01026,2022-01-21,9.161462438610323,2764.7,0,2022-01,2475.0,2456.5,2445.25,2764.7,-0.7053497443359735,-0.8012170385395537,0,11.166063530357853,36939816323.05,2022,2475.0,2089.9,1988.55,2764.7,-15.523757553709643,-19.328600405679516,0,11.166063530357853,138750059471.75,24.65000000000009,24.65,0.0,23.599999999999998,7.410714285714286,3.1845783132530117,76.10272947138085,True,False
23792,TRENT,EQ,1169.0,1206.55,1142.0,1181.85,1185.0,1170.0,961910,1131696217.35,21-JAN-2022,45037,INE849A01020,2022-01-21,12.066186231746636,1212.0,0,2022-01,1065.0,1031.55,1001.35,1212.0,-2.1856628105442777,-3.808837656099902,0,13.802816901408452,17358255383.05,2022,1065.0,1074.15,980.0,1346.85,1.8537834249952763,-5.859750240153699,0,26.464788732394357,96424287987.8,11.849999999999909,11.85,0.0,12.789285714285715,3.6999999999999997,3.4565637065637067,77.56118691791207,True,False
24600,AUBANK,EQ,1247.85,1270.65,1230.2,1256.7,1255.25,1254.05,869743,1089860110.9,21-JAN-2022,29367,INE949L01017,2022-01-21,17.96676992396509,1319.7,0,2022-01,1039.9,1309.55,1039.9,1338.0,22.92781376138177,0.0,0,23.147722043258167,51154418180.25,2022,1039.9,591.7,565.0,1465.95,-44.456960480615784,-45.66785267814213,0,34.92406810860562,219374236834.25,2.650000000000091,2.65,0.0,19.064285714285713,5.392857142857143,3.5350993377483437,77.94976635514018,True,False
24637,INDHOTEL,EQ,209.0,211.3,203.75,206.35,206.9,209.45,3341819,697113381.75,21-JAN-2022,23435,INE053A01029,2022-01-21,12.116272751969563,214.0,0,2022-01,179.8,215.6,178.05,218.5,17.142080956261875,0.0,0,17.473118279569892,22188614270.899998,2022,179.8,225.15,178.05,268.95,22.330888345558268,0.0,0,44.596774193548384,178757676439.4,-3.0999999999999943,0.0,3.1,2.2464285714285714,0.6535714285714286,3.4371584699453552,77.46305418719211,True,False
25014,HAL,EQ,1425.25,1456.85,1391.0,1418.15,1418.0,1431.1,850897,1220666883.35,21-JAN-2022,41770,INE066F01012,2022-01-21,14.950960525249254,1456.85,0,2022-01,1214.0,1443.7,1212.05,1471.0,17.021966442409013,0.0,0,18.090956528719936,23943524520.8,2022,1214.0,1769.8,1212.05,1972.55,43.45464861797843,0.0,0,58.3550756633083,167272977397.35,-12.949999999999818,0.0,12.95,17.37142857142857,4.196428571428571,4.139574468085106,80.5431362808412,True,False
28237,HEROMOTOCO,EQ,2704.1,2789.0,2652.85,2782.05,2769.85,2706.2,971148,2675393790.0,25-JAN-2022,100812,INE158A01026,2022-01-25,12.333441007833331,2789.0,0,2022-01,2463.0,2724.3,2463.0,2789.0,10.00161511749981,0.0,0,11.71640296414981,34511403994.15,2022,2463.0,2719.7,2146.85,2872.3,9.815876605023012,-12.835972391392614,0,15.053074304025643,247214855681.7,75.85000000000036,75.85,0.0,26.483163265306125,6.387244897959183,4.146257688313764,80.56840406047249,True,False
29199,CHOLAFIN,EQ,634.0,659.0,630.7,654.9,653.55,643.6,3916323,2524387883.3,27-JAN-2022,108611,INE121A01024,2022-01-27,21.898557468590038,674.9,0,2022-01,521.0,629.5,519.35,674.9,17.170777105630524,0.0,0,25.132103457865938,46124253574.65,2022,521.0,619.5,519.35,768.0,15.309446254071663,0.0,0,42.393621952350045,208538653496.3,11.299999999999955,11.3,0.0,8.484438775510203,2.663010204081633,3.186033144937254,76.11103482996933,True,False
31132,BANDHANBNK,EQ,324.4,327.5,314.0,316.95,317.25,322.35,5985247,1916871150.45,28-JAN-2022,56090,INE545U01014,2022-01-28,25.574484944532482,327.5,0,2022-01,252.7,315.55,249.2,327.5,25.019809825673534,0.0,0,26.937984496124027,65996092901.6,2022,252.7,263.5,249.0,349.55,4.397781299524562,-0.08025682182985099,0,35.48449612403101,330270850497.75,-5.400000000000034,0.0,5.4,4.891581632653062,1.4369897959183677,3.4040475767796905,77.29361496291519,True,False
31705,NTPC,EQ,142.0,143.4,138.55,142.05,141.8,140.15,27928927,3941340504.45,31-JAN-2022,136282,INE733E01010,2022-01-31,12.738095238095248,144.0,0,2022-01,125.4,142.05,124.7,144.0,12.738095238095248,0.0,0,13.78901619913078,39558565843.95,2022,125.4,142.9,123.65,166.35,13.412698412698418,-0.842020850040094,0,31.450019755037534,305455562734.55,1.9000000000000057,1.9,0.0,1.0112244897959184,0.2918367346938776,3.4650349650349646,77.60375880971026,True,False
32791,BANKBARODA,EQ,103.95,108.4,103.05,107.55,107.45,103.3,61044762,6461778677.15,31-JAN-2022,161027,INE028A01039,2022-01-31,28.341288782816232,108.4,0,2022-01,81.6,107.55,81.6,108.4,28.341288782816232,0.0,0,28.894173602853762,74610120190.1,2022,81.6,97.4,81.6,122.7,16.229116945107407,0.0,0,45.89774078478004,459713269090.1,4.25,4.25,0.0,1.7494897959183675,0.40459183673469384,4.324085750315259,81.21743249644719,True,False
