,break_even_date,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover,id
0,2023-03-06,38160,309280,1470893,1908,242,5,1678865,476,207972,206064,20606418,default-default
1,2023-03-20,37920,357969,792540,1896,241,5,992430,221,199890,197994,19799353,default-aggr
2,2023-02-27,40800,230866,1270451,2040,249,5,1490015,550,219564,217524,21752423,default-cons
3,2023-04-05,29880,295836,690758,1494,421,0,848600,233,157842,156348,15634839,default-patience
4,2023-03-06,42480,143589,813879,2124,149,6,951203,567,137324,135200,13520029,default-low_capital
5,2023-03-06,31720,327034,1325403,1586,397,19,1562811,405,237408,235822,23582181,default-high_capital
6,2023-03-06,41360,313372,1557663,2068,137,16,1820338,497,262675,260607,26060707,default-low_to_high_capital
7,2023-03-06,42000,230940,1575668,2100,250,5,1804441,682,228773,226673,22667254,allow_overlap-default
8,2023-04-03,42000,410321,760032,2100,250,5,980566,185,220534,218434,21843379,allow_overlap-aggr
9,2023-03-03,42000,256100,1301505,2100,250,5,1527508,508,226003,223903,22390321,allow_overlap-cons
10,2023-04-05,34680,419257,804385,1734,438,0,987706,192,183321,181587,18158670,allow_overlap-patience
11,2023-03-06,45880,155660,868206,2294,152,6,1016638,558,148432,146138,14613797,allow_overlap-low_capital
12,2023-03-08,35040,388249,1387310,1752,410,19,1648801,357,261491,259739,25973855,allow_overlap-high_capital
13,2023-03-06,45960,345968,1636823,2298,140,16,1928114,473,291291,288993,28899300,allow_overlap-low_to_high_capital
14,2022-03-02,23920,289457,1151073,1196,333,4,1281584,398,130511,129315,12931458,default-default
15,2022-04-07,23440,569526,973213,1172,330,4,1099529,171,126316,125144,12514375,default-aggr
16,2022-02-25,25280,166394,996209,1264,339,4,1132078,599,135869,134605,13460512,default-cons
17,2022-04-11,18800,468641,585324,940,454,2,685173,125,99849,98909,9890853,default-patience
18,2022-04-12,28120,219227,585390,1406,214,5,671638,267,86248,84842,8484215,default-low_capital
19,2022-03-10,20240,271019,1375142,1012,420,6,1530735,507,155593,154581,15458106,default-high_capital
20,2022-02-28,27200,324856,1578107,1360,238,6,1745684,486,167577,166217,16621676,default-low_to_high_capital
21,2022-03-09,25560,361369,1220971,1278,340,4,1360490,338,139519,138241,13824067,allow_overlap-default
22,2022-03-14,25560,610990,1071609,1278,340,4,1209619,175,138010,136732,13673195,allow_overlap-aggr
23,2022-02-25,25560,167314,1020977,1278,340,4,1158476,610,137499,136221,13622053,allow_overlap-cons
24,2022-04-13,20640,510420,633223,1032,465,2,742980,124,109757,108725,10872480,allow_overlap-patience
25,2022-04-13,30320,287557,589178,1516,220,5,682209,205,93031,91515,9151488,allow_overlap-low_capital
26,2022-03-10,21920,328269,1536967,1096,429,6,1706284,468,169317,168221,16822065,allow_overlap-high_capital
27,2022-03-02,29360,423906,1673243,1468,243,6,1854744,395,181501,180033,18003339,allow_overlap-low_to_high_capital
28,2022-09-16,29720,192825,1355430,1486,234,2,1520414,703,164984,163498,16349799,default-default
29,2022-09-21,29560,345208,1249610,1478,233,2,1412688,362,163078,161600,16159968,default-aggr
30,2022-08-19,31520,140788,1203386,1576,240,2,1375884,855,172498,170922,17092215,default-cons
31,2022-12-01,24400,450062,734333,1220,350,1,866404,163,132071,130851,13085058,default-patience
32,2022-09-16,32280,242258,725156,1614,170,2,831576,299,106420,104806,10480631,default-low_capital
33,2022-09-16,25400,295707,1575953,1270,338,6,1772560,533,196607,195337,19533654,default-high_capital
34,2022-09-16,33560,355835,1765977,1678,121,7,1987566,496,221589,219911,21991132,default-low_to_high_capital
35,2022-09-15,32160,187186,1473774,1608,242,2,1652204,787,178430,176822,17682174,allow_overlap-default
36,2022-09-21,32160,323531,1412625,1608,242,2,1590437,437,177812,176204,17620407,allow_overlap-aggr
37,2022-08-19,32160,132441,1219318,1608,242,2,1395177,921,175859,174251,17425148,allow_overlap-cons
38,2022-12-06,27360,516248,768053,1368,363,1,915188,149,147135,145767,14576695,allow_overlap-patience
39,2022-09-16,34920,249110,777556,1746,173,2,892279,312,114723,112977,11297653,allow_overlap-low_capital
40,2022-09-16,27680,338744,1703151,1384,350,6,1917044,503,213893,212509,21250874,allow_overlap-high_capital
41,2022-09-16,36680,366060,1934992,1834,124,7,2176762,529,241770,239936,23993561,allow_overlap-low_to_high_capital
