,Close,Date,High,Identifier,Low,Open,PreviousClose,Turnover (Rs. Cr.),TOTTRDQTY,HighestPercFallInNext1Days,HighestPercFallInNext7Days,HighestPercFallInNext15Days,HighestPercFallInNext30Days,HighestPercFallInNext45Days
50,480.38,1990-10-09,480.38,NIFTY 50,,,31.129999999999995,,0,,,,,
357,1280.9,1992-04-23,1280.9,NIFTY 50,,,150.80000000000018,,0,,,,,
735,1349.4,1994-02-28,1349.4,NIFTY 50,,,45.0,,0,,,,,
860,1384.9,1994-09-12,1384.9,NIFTY 50,,,6.2000000000000455,,0,,,,,
7951,1505.2,1999-10-14,1522.85,NIFTY 50,1496.65,1497.3,50.700000000000045,,0,3.7370449109752855,6.268269997342554,17.632208344406063,17.632208344406063,17.632208344406063
8630,1696.4,2000-02-23,1818.15,NIFTY 50,1689.2,1745.2,-35.59999999999991,,0,0.19452959207735096,4.129332704550824,11.38882339070974,18.589365715633114,25.837066729544926
18994,1971.9,2004-01-09,2014.65,NIFTY 50,1957.45,1969.0,26.300000000000182,,0,1.7825447537907646,4.91657791977281,10.966580455398347,10.966580455398347,12.262285105735593
23475,2103.7,2005-01-04,2120.15,NIFTY 50,2100.55,2116.95,71.49999999999977,,0,5.397632742311154,9.642534581927077,9.949137234396527,9.949137234396527,9.949137234396527
24267,2160.8,2005-03-09,2183.45,NIFTY 50,2141.35,2169.1,-6.599999999999909,,0,0.6965012958163727,3.8689374305812825,8.776841910403558,11.940022213994826,12.240836727138106
28327,2644.4,2005-10-05,2669.2,NIFTY 50,2636.6,2663.7,65.30000000000018,,0,2.764332173649974,6.99213432158524,11.564059900166395,12.742020874300419,12.742020874300419
32656,3701.0,2006-05-11,3774.15,NIFTY 50,3687.9,3755.8,51.0,,0,1.81437449338017,21.740070251283434,21.740070251283434,29.866252364225883,29.866252364225883
38353,4223.4,2007-02-08,4245.3,NIFTY 50,4188.45,4232.0,36.0,,0,1.2217644551782796,6.1135577970355595,12.988350617985503,15.837950466448824,15.837950466448824
41848,4620.7,2007-07-24,4647.95,NIFTY 50,4609.75,4620.05,32.0,,0,1.4045490942930645,6.356179799597459,8.256324799272837,13.385417793840759,13.385417793840759
45450,6287.8,2008-01-08,6357.1,NIFTY 50,6221.6,6282.45,15.800000000000182,,0,0.8993606666878746,7.348357136041225,29.251884601927546,29.251884601927546,29.251884601927546
114589,7931.35,2015-12-02,7979.3,NIFTY 50,7910.8,7976.7,67.20000000000073,6242.53,0,0.9840695467984665,4.489147496958275,4.794896203042359,6.374072509724071,8.697762675963112
126489,8917.95,2016-09-07,8968.7,NIFTY 50,8913.35,8968.7,-34.54999999999927,11430.95,0,0.24613279957838657,2.568415386944321,4.033438178056624,4.617653160199385,10.268054878082975
142248,10081.5,2017-08-02,10137.85,NIFTY 50,10054.2,10136.3,67.85000000000036,9165.92,0,0.825769974706145,3.9274909487675513,3.9274909487675513,3.9274909487675513,3.9274909487675513
147002,10451.8,2017-11-06,10490.45,NIFTY 50,10413.75,10431.75,101.64999999999964,10231.76,0,1.0620180256032454,3.4233337798273915,3.4233337798273915,4.003616601925017,4.003616601925017
151491,11130.4,2018-01-29,11171.55,NIFTY 50,11075.95,11079.35,80.75,16118.36,0,0.8669948968590527,7.67357866743334,7.67357866743334,8.884226981959323,10.588119025371954
162405,11738.5,2018-08-28,11760.2,NIFTY 50,11710.5,11731.95,46.600000000000364,13946.7,0,0.5081569195382685,2.9360650849767826,4.494611747667934,13.629509732930098,14.771478468288118
177062,12088.55,2019-06-03,12103.05,NIFTY 50,11920.1,11953.75,66.89999999999964,17451.36,0,0.6841184426585398,2.6392743546579145,3.833793134825921,5.191276042205222,10.803198067592879
189342,12224.55,2020-01-20,12430.5,NIFTY 50,12216.9,12430.5,54.69999999999891,21415.43,0,0.5092211983263188,1.6364610558261798,4.990367743597918,9.72060321238818,38.55724750604316
211999,15313.45,2021-02-16,15431.75,NIFTY 50,15242.2,15371.45,104.55000000000109,36550.03,0,0.9318605539574735,4.430092500383659,5.5225961491368745,6.850513764044034,7.588427166967607
226623,18418.75,2021-10-19,18604.45,NIFTY 50,18377.7,18602.35,152.15000000000146,30505.86,0,1.1368849677638355,3.3623345775364735,4.374075330844935,8.88415337631489,10.904920257889374
253781,18812.5,2022-12-01,18887.6,NIFTY 50,18778.2,18871.95,116.40000000000146,22216.65,0,0.9211960132890327,2.481328903654481,3.954285714285722,5.585913621262451,7.756013289036537
270505,19979.15,2023-07-20,19991.85,NIFTY 50,19758.4,19831.7,234.15000000000146,30622.66,0,1.3972065878678595,2.0824209238130895,3.417062287434654,3.781442153444966,
