,Key,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover
0,rsi-default-default,38160,424737.7,1470893.1189999997,1908,242,5,1678865.2999999998,346.30623064540765,207972.181,206064.181,20606418.1
1,rsi-default-aggr,37920,742453.7,792540.7690000001,1896,241,5,992430.3,106.74615386791125,199889.53100000002,197993.53100000002,19799353.1
2,rsi-default-cons,40800,333077.2,1270451.14325,2040,249,5,1490015.375,381.42843258259643,219564.23175,217524.23175,21752423.175
3,rsi-default-patience,29880,688761.125,690757.414,1494,421,0,848599.8,100.28983764146095,157842.38600000003,156348.38600000003,15634838.600000001
4,rsi-default-low_capital,42480,292866.925,813878.23275,2124,149,6,951202.5249999999,277.9003579014598,137324.29225,135200.29225,13520029.225
5,rsi-default-high_capital,31720,813980.225,1325403.4157500002,1586,397,19,1562811.225,162.82992817792353,237407.80924999996,235821.80924999996,23582180.924999997
6,rsi-default-low_to_high_capital,41360,734018.6499999999,1557662.633,2068,137,16,1820337.7,212.21022558486763,262675.06700000004,260607.067,26060706.7
7,rsi-allow_overlap-default,42000,443977.7,1575668.3877499998,2100,250,5,1804440.9249999998,354.89809234788135,228772.53725000002,226672.53725000002,22667253.725
8,rsi-allow_overlap-aggr,42000,802888.625,760032.1377499999,2100,250,5,980565.9249999999,94.66221267613548,220533.78725000002,218433.78725000002,21843378.725
9,rsi-allow_overlap-cons,42000,359302.825,1301505.287,2100,250,5,1527508.5,362.23074143655845,226003.21300000002,223903.21300000002,22390321.3
10,rsi-allow_overlap-patience,34680,767142.125,804385.22275,1734,438,0,987705.925,104.85478460070223,183320.70225000003,181586.70225000003,18158670.225
11,rsi-allow_overlap-low_capital,45880,294017.425,868206.1764999998,2294,152,6,1016638.1499999999,295.29072179990686,148431.97350000002,146137.97350000002,14613797.350000001
12,rsi-allow_overlap-high_capital,35040,852817.725,1387310.52125,1752,410,19,1648801.075,162.67374382374615,261490.55375,259738.55375,25973855.375
13,rsi-allow_overlap-low_to_high_capital,45960,807103.8999999999,1636823.1722499998,2298,140,16,1928114.1749999998,202.8020397683619,291291.00275,288993.00275,28899300.275
