,FinInstrmNm,Identifier,ExpiryDate,StrkPric,OptionType,PreviousClose,Open,High,Low,Close,SttlmPric,AvrgPric,Turnover (Rs. Cr.),TtlTrfVal,OpenInterest,ChngInOpnIntrst,OiChangePerc,RptgDt,CostOfCrryPctg,MrgnPctg,Mrgn,IsTradd,LastTradgDt,PrmOrDscnt,PrmOrDscntPctg,TradRegnOrgn,MktTpandId,FinInstrmId,LftmHgh,LftmLw,UnitOfMeasr,TtlNbOfTxsExctd,Ccy,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Date,SYMBOL,LotSize,CloseToPrevCloseChangePerc,OpenToPrevCloseChangePerc,PreviousCloseAmount,OpenAmount,CloseAmount,AmountDiffOpenToPrevClose,AmountDiffCloseToPrevClose,Closest
19805,OPTSTK,RELIANCE,28-Jun-2023,2540.0,CE,0.8,1.0,3.1,0.05,0.05,2529.5,,13400.0,85125.07,625000.0,-243000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,RELIANCE,250.0,-93.75,25.0,200.0,250.0,12.5,50.0,-187.5,True
20507,OPTSTK,INDUSINDBK,28-Jun-2023,1350.0,CE,1.15,1.45,7.0,0.05,0.15,1334.05,,3282.0,19958.08,180450.0,-225900.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,INDUSINDBK,500.0,-86.95652173913044,26.086956521739136,575.0,725.0,75.0,150.0,-500.0,True
22453,OPTSTK,TATAMOTORS,28-Jun-2023,580.0,CE,0.85,1.45,11.0,0.15,7.8,586.65,,9286.0,77293.49,1350900.0,-3060900.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,TATAMOTORS,1425.0,817.6470588235294,70.58823529411764,1211.25,2066.25,11115.0,855.0,9903.75,True
23228,OPTSTK,RAIN,28-Jun-2023,165.0,PE,0.8,1.0,4.0,0.65,2.9,162.1,,254.0,1489.6,112000.0,-325500.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,,,262.49999999999994,25.0,,,,,,True
23788,OPTSTK,GMRINFRA,28-Jun-2023,44.0,PE,1.15,1.25,1.6,0.85,1.6,42.6,,40.0,406.63,2227500.0,-495000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,GMRINFRA,22500.0,39.13043478260872,8.69565217391306,25874.999999999996,28125.0,36000.0,2250.0000000000036,10125.000000000004,True
25360,OPTSTK,SBIN,28-Jun-2023,575.0,CE,0.7,1.0,1.1,0.05,0.05,569.8,,4688.0,40464.6,1099500.0,-849000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,SBIN,1500.0,-92.85714285714286,42.85714285714286,1050.0,1500.0,75.0,450.0,-975.0,True
25404,OPTSTK,NAUKRI,28-Jun-2023,4650.0,CE,0.95,1.35,1.35,0.05,0.15,4431.65,,245.0,1424.22,6000.0,-2125.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,NAUKRI,150.0,-84.21052631578947,42.105263157894754,142.5,202.5,22.5,60.0,-120.0,True
25452,OPTSTK,ICICIGI,28-Jun-2023,1310.0,PE,1.1,2.85,2.85,0.05,0.05,1332.6,,367.0,2044.86,24225.0,-29750.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ICICIGI,500.0,-95.45454545454545,159.0909090909091,550.0,1425.0,25.0,875.0,-525.0,True
26248,OPTSTK,HCLTECH,28-Jun-2023,1170.0,CE,1.4,1.65,1.9,0.05,0.05,1170.25,,2970.0,24340.93,823900.0,-343000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,HCLTECH,700.0,-96.42857142857143,17.85714285714286,979.9999999999999,1155.0,35.0,175.0000000000001,-944.9999999999999,True
26760,OPTSTK,TATASTEEL,28-Jun-2023,109.4,CE,1.45,1.65,2.8,1.6,2.1,111.55,,298.0,1827.41,1391500.0,-665500.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,TATASTEEL,5500.0,44.827586206896555,13.793103448275868,7975.0,9075.0,11550.0,1100.0,3575.0,True
27486,OPTSTK,NAVINFLUOR,28-Jun-2023,4650.0,CE,0.8,1.3,1.3,0.05,0.15,4486.7,,56.0,390.61,3900.0,-2850.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,NAVINFLUOR,150.0,-81.25,62.5,120.0,195.0,22.5,75.0,-97.5,True
27640,OPTSTK,HINDCOPPER,28-Jun-2023,115.0,CE,1.2,1.3,3.95,0.25,0.45,115.85,,744.0,4181.36,542400.0,-1382400.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,HINDCOPPER,5300.0,-62.5,8.333333333333348,6360.0,6890.0,2385.0,530.0,-3975.0,True
28471,OPTSTK,DELTACORP,28-Jun-2023,255.0,CE,1.0,1.95,5.3,0.05,0.8,254.95,,277.0,1997.32,58800.0,-140000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,DELTACORP,2800.0,-19.999999999999996,95.0,2800.0,5460.0,2240.0,2660.0,-560.0,True
29065,OPTSTK,DALBHARAT,28-Jun-2023,2140.0,PE,1.05,2.0,2.0,0.05,0.05,2219.55,,68.0,727.71,20000.0,-7000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,DALBHARAT,500.0,-95.23809523809523,90.47619047619047,525.0,1000.0,25.0,475.0,-500.0,True
29830,OPTSTK,CHOLAFIN,28-Jun-2023,1110.0,CE,0.85,2.0,18.0,0.5,15.95,1127.5,,631.0,8780.87,45000.0,-155000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,CHOLAFIN,1250.0,1776.4705882352941,135.29411764705884,1062.5,2500.0,19937.5,1437.5,18875.0,True
30892,OPTSTK,JINDALSTEL,28-Jun-2023,590.0,CE,1.5,2.15,2.15,0.05,0.05,576.1,,1293.0,9549.16,503750.0,-266250.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,JINDALSTEL,1250.0,-96.66666666666667,43.333333333333336,1875.0,2687.5,62.5,812.5,-1812.5,True
31477,OPTSTK,GAIL,28-Jun-2023,105.0,PE,0.65,0.7,1.4,0.5,1.15,103.8,,328.0,3180.15,2305800.0,-951600.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,GAIL,9150.0,76.92307692307689,7.692307692307687,5947.5,6405.0,10522.5,457.5,4575.0,True
31554,OPTSTK,ZYDUSLIFE,28-Jun-2023,565.0,PE,0.65,0.95,1.25,0.05,0.1,582.45,,190.0,1933.85,55800.0,-88200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ZYDUSLIFE,1800.0,-84.61538461538461,46.153846153846146,1170.0,1710.0,180.0,540.0,-990.0,True
31695,OPTSTK,BANDHANBNK,28-Jun-2023,237.5,PE,1.1,1.85,3.4,0.3,2.55,233.45,,71.0,305.36,45000.0,-54000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,BANDHANBNK,2500.0,131.81818181818178,68.18181818181816,2750.0,4625.0,6375.0,1875.0,3625.0,True
32396,OPTSTK,BANDHANBNK,28-Jun-2023,240.0,CE,0.85,0.9,1.5,0.05,0.05,233.45,,1182.0,5114.69,588600.0,-586800.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,BANDHANBNK,2500.0,-94.11764705882352,5.882352941176472,2125.0,2250.0,125.0,125.0,-2000.0,True
33508,OPTSTK,ABFRL,28-Jun-2023,212.5,CE,0.95,1.5,2.4,0.05,0.2,213.45,,161.0,894.98,114400.0,-135200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ABFRL,2600.0,-78.94736842105263,57.89473684210527,2470.0,3900.0,520.0,1430.0,-1950.0,True
33785,OPTSTK,GODREJPROP,28-Jun-2023,1520.0,PE,0.65,1.0,1.8,0.05,0.65,1583.1,,106.0,684.88,38250.0,-11050.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,GODREJPROP,475.0,0.0,53.84615384615383,308.75,475.0,308.75,166.25,0.0,True
33939,OPTSTK,COLPAL,28-Jun-2023,1720.0,CE,0.85,0.95,1.0,0.05,0.05,1688.25,,69.0,415.44,11200.0,-4200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,COLPAL,350.0,-94.11764705882352,11.764705882352944,297.5,332.5,17.5,35.0,-280.0,True
34573,OPTSTK,MCDOWELL-N,28-Jun-2023,920.0,CE,1.45,2.9,4.15,0.05,0.25,913.2,,1217.0,7012.13,113125.0,-115000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,MCDOWELL-N,700.0,-82.75862068965517,100.0,1015.0,2030.0,175.0,1015.0,-840.0,True
36445,OPTSTK,IOC,28-Jun-2023,88.0,CE,1.2,1.75,2.1,1.3,2.1,90.65,,52.0,455.71,341250.0,-107250.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,IOC,9750.0,75.00000000000003,45.83333333333335,11700.0,17062.5,20475.0,5362.5,8775.0,True
36949,OPTIDX,NIFTY,28-Jun-2023,19000.0,CE,1.45,3.1,33.9,0.05,2.45,18972.1,,25200656.0,239584660.01,12708300.0,2024200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,NIFTY,50.0,68.96551724137933,113.79310344827589,72.5,155.0,122.50000000000001,82.5,50.000000000000014,True
37646,OPTSTK,HINDPETRO,28-Jun-2023,267.5,CE,1.3,1.6,3.05,0.05,0.5,269.1,,242.0,1753.44,162000.0,67500.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,HINDPETRO,2700.0,-61.53846153846154,23.076923076923084,3510.0,4320.0,1350.0,810.0,-2160.0,True
38331,OPTSTK,ONGC,28-Jun-2023,158.0,PE,0.8,1.1,2.3,0.05,1.0,158.55,,353.0,2153.41,1216600.0,-23100.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ONGC,3850.0,25.0,37.5,3080.0,4235.0,3850.0,1155.0,770.0,True
38356,OPTSTK,NMDC,28-Jun-2023,104.0,CE,0.9,1.1,1.6,0.1,0.45,104.5,,158.0,747.54,81000.0,-342000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,NMDC,4500.0,-50.0,22.222222222222232,4050.0,4950.0,2025.0,900.0,-2025.0,True
38408,OPTSTK,DLF,28-Jun-2023,490.0,CE,0.75,0.8,0.8,0.05,0.05,485.9,,1198.0,9693.02,811800.0,-602250.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,DLF,1650.0,-93.33333333333333,6.666666666666665,1237.5,1320.0,82.5,82.5,-1155.0,True
39464,OPTSTK,HDFC,28-Jun-2023,2860.0,CE,1.0,1.05,1.05,0.05,0.1,2779.0,,91.0,780.83,9000.0,-13200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,,,-90.0,5.000000000000004,,,,,,True
41651,OPTSTK,ABCAPITAL,28-Jun-2023,190.0,PE,1.3,1.5,2.4,0.05,0.1,193.5,,494.0,5087.53,199800.0,-442800.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ABCAPITAL,5400.0,-92.3076923076923,15.384615384615374,7020.0,8100.0,540.0,1080.0,-6480.0,True
41690,OPTSTK,PNB,28-Jun-2023,52.0,PE,1.35,1.4,1.75,1.1,1.65,50.4,,142.0,1213.57,2000000.0,-1456000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,PNB,16000.0,22.22222222222221,3.703703703703698,21600.0,22400.0,26400.0,800.0,4800.0,True
43117,OPTSTK,IDFC,28-Jun-2023,103.0,PE,0.9,1.05,1.5,0.75,0.75,102.3,,19.0,197.82,450000.0,-110000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,IDFC,10000.0,-16.666666666666675,16.666666666666675,9000.0,10500.0,7500.0,1500.0,-1500.0,True
43313,OPTSTK,IDFCFIRSTB,28-Jun-2023,77.0,CE,1.35,1.4,3.1,0.65,2.85,79.7,,189.0,2226.68,1680000.0,-1590000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,IDFCFIRSTB,15000.0,111.11111111111111,3.703703703703698,20250.0,21000.0,42750.0,750.0,22500.0,True
44648,OPTSTK,FEDERALBNK,28-Jun-2023,122.0,CE,1.35,1.5,2.0,0.3,0.65,122.15,,200.0,1228.85,295000.0,-245000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,FEDERALBNK,5000.0,-51.85185185185186,11.111111111111093,6750.0,7500.0,3250.0,750.0,-3500.0,True
46188,OPTSTK,CANBK,28-Jun-2023,298.0,CE,0.7,0.9,1.55,0.05,0.2,296.6,,892.0,7197.5,596700.0,-650700.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,CANBK,2700.0,-71.42857142857142,28.57142857142858,1889.9999999999998,2430.0,540.0,540.0000000000002,-1349.9999999999998,True
46621,OPTSTK,JKCEMENT,28-Jun-2023,3200.0,PE,0.65,0.8,0.9,0.05,0.05,3428.9,,39.0,312.02,18250.0,-5750.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,JKCEMENT,250.0,-92.3076923076923,23.076923076923084,162.5,200.0,12.5,37.5,-150.0,True
46785,OPTSTK,PETRONET,28-Jun-2023,220.0,CE,0.65,1.25,2.0,0.25,1.65,220.65,,113.0,748.02,66000.0,-174000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,PETRONET,3000.0,153.84615384615384,92.30769230769229,1950.0,3750.0,4950.0,1800.0,3000.0,True
47062,OPTSTK,INDHOTEL,28-Jun-2023,390.0,CE,0.9,1.15,7.5,0.5,4.9,396.45,,879.0,6889.92,142000.0,-576000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,INDHOTEL,2000.0,444.44444444444446,27.777777777777768,1800.0,2300.0,9800.0,500.0,8000.0,True
48387,OPTSTK,RAMCOCEM,28-Jun-2023,960.0,CE,0.9,1.0,1.0,0.05,0.1,933.65,,55.0,448.96,41650.0,-13600.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,RAMCOCEM,850.0,-88.88888888888889,11.111111111111116,765.0,850.0,85.0,85.0,-680.0,True
51224,OPTSTK,PFC,28-Jun-2023,207.5,CE,0.8,1.4,10.5,1.4,10.1,217.8,,303.0,3961.65,303800.0,-713000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,PFC,6200.0,1162.4999999999998,74.99999999999997,4960.0,8680.0,62620.0,3720.0,57660.0,True
51874,OPTSTK,INFY,28-Jun-2023,1300.0,CE,0.7,1.5,1.5,0.05,0.05,1293.35,,8251.0,42915.16,2176800.0,-790400.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,INFY,400.0,-92.85714285714286,114.28571428571428,280.0,600.0,20.0,320.0,-260.0,True
51932,OPTSTK,BEL,28-Jun-2023,118.0,CE,1.05,1.15,3.95,0.8,3.35,120.75,,90.0,612.8,228000.0,-171000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,BEL,5700.0,219.04761904761904,9.523809523809511,5985.0,6554.999999999999,19095.0,569.9999999999991,13110.0,True
52741,OPTSTK,ONGC,28-Jun-2023,157.0,CE,0.8,1.0,2.7,0.15,2.1,158.55,,416.0,2536.77,658350.0,-308000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ONGC,3850.0,162.5,25.0,3080.0,3850.0,8085.0,770.0,5005.0,True
53844,OPTSTK,SAIL,25-May-2023,83.0,PE,1.0,1.1,1.6,0.65,0.95,82.25,,62.0,417.41,576000.0,-112000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,SAIL,8000.0,-5.000000000000004,10.000000000000009,8000.0,8800.0,7600.0,800.0,-400.0,True
54796,OPTSTK,HDFC,25-May-2023,2620.0,PE,1.05,1.15,3.1,0.15,0.25,2647.4,,360.0,2831.35,45900.0,-7800.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,,,-76.19047619047619,9.523809523809511,,,,,,True
55012,OPTSTK,ONGC,25-May-2023,167.0,PE,1.45,1.8,2.7,1.55,2.0,166.0,,21.0,136.6,450450.0,-38500.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,ONGC,3850.0,37.93103448275863,24.13793103448276,5582.5,6930.0,7700.0,1347.5,2117.5,True
55476,OPTSTK,INTELLECT,25-May-2023,550.0,PE,0.9,1.0,1.25,0.05,0.2,564.9,,99.0,545.06,113000.0,-3000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,,,-77.77777777777779,11.111111111111116,,,,,,True
56297,OPTSTK,ABCAPITAL,25-May-2023,165.0,PE,1.45,2.8,3.3,0.05,0.15,164.9,,136.0,1227.63,172800.0,-399600.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,ABCAPITAL,5400.0,-89.65517241379311,93.10344827586205,7830.0,15119.999999999998,810.0,7289.999999999998,-7020.0,True
56864,OPTSTK,BIOCON,25-May-2023,245.0,CE,1.15,1.6,4.1,0.05,0.05,239.85,,750.0,4240.14,427800.0,-85100.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,BIOCON,2500.0,-95.65217391304348,39.13043478260872,2875.0,4000.0,125.0,1125.0,-2750.0,True
56899,OPTSTK,HINDPETRO,25-May-2023,257.5,PE,0.95,2.0,2.65,0.8,0.8,258.1,,70.0,490.76,189000.0,-51300.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,HINDPETRO,2700.0,-15.78947368421052,110.52631578947367,2565.0,5400.0,2160.0,2835.0,-405.0,True
58450,OPTSTK,RBLBANK,25-May-2023,145.0,PE,0.75,1.0,1.3,0.05,0.2,147.05,,423.0,3078.89,410000.0,-770000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,RBLBANK,5000.0,-73.33333333333334,33.33333333333333,3750.0,5000.0,1000.0,1250.0,-2750.0,True
58638,OPTSTK,TATASTEEL,25-May-2023,106.0,PE,1.05,1.4,2.0,1.2,1.45,104.85,,360.0,2131.66,1573000.0,-368500.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,TATASTEEL,5500.0,38.095238095238095,33.33333333333333,5775.0,7699.999999999999,7975.0,1924.999999999999,2200.0,True
58722,OPTSTK,CIPLA,25-May-2023,950.0,CE,0.55,0.85,1.25,0.05,0.05,945.45,,750.0,4631.76,497900.0,-167700.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,CIPLA,650.0,-90.9090909090909,54.54545454545452,357.50000000000006,552.5,32.5,194.99999999999994,-325.00000000000006,True
58734,OPTSTK,L&TFH,25-May-2023,100.0,CE,1.25,1.9,2.7,1.1,2.6,102.65,,248.0,2257.79,1231512.0,-696072.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,L&TFH,8924.0,108.0,52.0,11155.0,16955.6,23202.4,5800.5999999999985,12047.400000000001,True
59228,OPTSTK,MOTHERSON,25-May-2023,82.0,PE,0.85,1.3,1.5,0.55,1.0,81.7,,45.0,252.67,114750.0,-236250.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,MOTHERSON,7100.0,17.647058823529417,52.941176470588246,6035.0,9230.0,7100.0,3195.0,1065.0,True
59323,OPTSTK,IBULHSGFIN,25-May-2023,112.5,PE,1.15,1.25,1.6,0.65,1.1,111.55,,32.0,145.37,92000.0,-56000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,IBULHSGFIN,5100.0,-4.347826086956507,8.69565217391306,5865.0,6375.0,5610.0,510.0,-255.0,True
60082,OPTSTK,APOLLOTYRE,25-May-2023,380.0,PE,0.85,0.95,1.6,0.05,0.1,389.2,,396.0,5273.05,241500.0,-357000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,APOLLOTYRE,1700.0,-88.23529411764706,11.764705882352944,1445.0,1615.0,170.0,170.0,-1275.0,True
60274,OPTSTK,M&MFIN,25-May-2023,280.0,PE,0.75,1.0,1.8,0.05,0.05,283.15,,270.0,3033.01,328000.0,-456000.0,,25-May-2023,,,,,,,,,,,,,,,,,,,,,2023-05-25,M&MFIN,4000.0,-93.33333333333333,33.33333333333333,3000.0,4000.0,200.0,1000.0,-2800.0,True
