,FinInstrmNm,Identifier,ExpiryDate,StrkPric,OptionType,PreviousClose,Open,High,Low,Close,SttlmPric,AvrgPric,Turnover (Rs. Cr.),TtlTrfVal,OpenInterest,ChngInOpnIntrst,OiChangePerc,RptgDt,CostOfCrryPctg,MrgnPctg,Mrgn,IsTradd,LastTradgDt,PrmOrDscnt,PrmOrDscntPctg,TradRegnOrgn,MktTpandId,FinInstrmId,LftmHgh,LftmLw,UnitOfMeasr,TtlNbOfTxsExctd,Ccy,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Date,SYMBOL,LotSize,CloseToPrevCloseChangePerc,OpenToPrevCloseChangePerc,PreviousCloseAmount,OpenAmount,CloseAmount,AmountDiffOpenToPrevClose,AmountDiffCloseToPrevClose,Closest
943,OPTSTK,ICICIBANK,28-Jun-2023,950.0,CE,0.95,1.5,1.6,0.05,0.05,937.45,,4806.0,31969.39,1525300.0,-1005200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,ICICIBANK,700.0,-94.73684210526315,57.89473684210527,665.0,1050.0,35.0,385.0,-630.0,True
1544,OPTSTK,CANFINHOME,28-Jun-2023,800.0,CE,1.0,1.15,5.0,0.05,0.1,782.05,,887.0,6929.94,110175.0,-75075.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,CANFINHOME,975.0,-90.0,14.999999999999991,975.0,1121.25,97.5,146.25,-877.5,True
2911,OPTSTK,SBILIFE,28-Jun-2023,1310.0,CE,0.75,0.9,3.5,0.05,0.1,1299.9,,486.0,4780.8,69750.0,-48000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,SBILIFE,750.0,-86.66666666666667,19.999999999999996,562.5,675.0,75.0,112.5,-487.5,True
3186,OPTSTK,BALKRISIND,28-Jun-2023,2300.0,PE,1.1,2.0,2.0,0.05,0.05,2361.15,,121.0,835.17,43200.0,-11100.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,BALKRISIND,300.0,-95.45454545454545,81.81818181818181,330.0,600.0,15.0,270.0,-315.0,True
3954,OPTSTK,MPHASIS,28-Jun-2023,1880.0,CE,1.45,2.0,2.0,0.05,0.05,1848.8,,259.0,1339.28,35200.0,-14025.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,MPHASIS,275.0,-96.55172413793103,37.93103448275863,398.75,550.0,13.75,151.25,-385.0,True
9977,OPTSTK,MFSL,28-Jun-2023,820.0,CE,0.95,1.3,2.35,0.05,0.1,797.0,,925.0,4935.28,29900.0,-46150.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,MFSL,800.0,-89.47368421052632,36.8421052631579,760.0,1040.0,80.0,280.0,-680.0,True
10773,OPTSTK,SBICARD,28-Jun-2023,880.0,CE,1.3,1.75,2.35,0.05,0.25,856.65,,146.0,1028.46,40800.0,-33600.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,SBICARD,800.0,-80.76923076923077,34.615384615384606,1040.0,1400.0,200.0,360.0,-840.0,True
11331,OPTSTK,PAGEIND,28-Jun-2023,36500.0,PE,1.05,1.2,1.2,0.1,0.25,37473.7,,77.0,421.57,2250.0,-240.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,PAGEIND,15.0,-76.19047619047619,14.28571428571428,15.75,18.0,3.75,2.25,-12.0,True
12302,OPTSTK,TORNTPHARM,28-Jun-2023,1860.0,PE,0.85,3.0,3.0,0.05,0.7,1953.65,,160.0,1488.56,26500.0,-12000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,TORNTPHARM,500.0,-17.647058823529417,252.94117647058823,425.0,1500.0,350.0,1075.0,-75.0,True
12643,OPTSTK,APOLLOHOSP,28-Jun-2023,5000.0,PE,1.4,3.0,3.35,0.05,0.05,5126.9,,1093.0,6831.59,108875.0,-44875.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,APOLLOHOSP,125.0,-96.42857142857143,114.28571428571428,175.0,375.0,6.25,200.0,-168.75,True
12870,OPTSTK,RECLTD,28-Jun-2023,160.0,CE,1.1,2.2,7.8,1.25,6.45,166.75,,507.0,6616.57,856000.0,-1848000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,RECLTD,8000.0,486.3636363636363,100.0,8800.0,17600.0,51600.0,8800.0,42800.0,True
14879,OPTSTK,APOLLOTYRE,28-Jun-2023,405.0,CE,1.0,1.55,5.0,0.1,1.65,409.45,,414.0,5875.81,119000.0,-241500.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,APOLLOTYRE,1700.0,64.99999999999999,55.00000000000001,1700.0,2635.0,2805.0,935.0,1105.0,True
14975,OPTSTK,METROPOLIS,28-Jun-2023,1540.0,CE,1.4,2.5,2.5,0.05,0.05,1460.15,,715.0,4405.23,140000.0,-25200.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,METROPOLIS,400.0,-96.42857142857143,78.57142857142858,560.0,1000.0,20.0,440.0,-540.0,True
16599,OPTSTK,BHEL,28-Jun-2023,84.0,CE,0.75,0.85,1.8,0.7,1.2,85.05,,129.0,1152.12,472500.0,-556500.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,BHEL,10500.0,59.999999999999986,13.33333333333333,7875.0,8925.0,12600.0,1050.0,4725.0,True
17001,OPTSTK,NATIONALUM,28-Jun-2023,81.0,CE,1.25,1.6,1.75,0.75,1.1,81.95,,47.0,289.83,172500.0,-180000.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,NATIONALUM,7500.0,-11.99999999999999,28.000000000000004,9375.0,12000.0,8250.0,2625.0,-1125.0,True
17359,OPTSTK,AMBUJACEM,28-Jun-2023,440.0,CE,0.75,0.9,3.5,0.05,0.2,434.25,,1617.0,12852.33,322200.0,-417600.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,AMBUJACEM,1800.0,-73.33333333333334,19.999999999999996,1350.0,1620.0,360.0,270.0,-990.0,True
19144,OPTSTK,L&TFH,28-Jun-2023,124.0,PE,1.2,2.0,2.0,0.05,0.25,123.6,,12.0,133.66,107088.0,-35696.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,L&TFH,8924.0,-79.16666666666666,66.66666666666667,10708.8,17848.0,2231.0,7139.200000000001,-8477.8,True
19554,OPTSTK,COLPAL,28-Jun-2023,1660.0,PE,1.2,1.35,1.35,0.1,0.4,1688.25,,57.0,331.23,16450.0,-8750.0,,28-Jun-2023,,,,,,,,,,,,,,,,,,,,,2023-06-28,COLPAL,350.0,-66.66666666666666,12.500000000000021,420.0,472.50000000000006,140.0,52.50000000000006,-280.0,True
