,Identifier,OpenToPrevCloseChangePerc
0,AARTIIND,10
1,NATIONALUM,10
2,KOTAKBANK,10
3,L&TFH,10
4,LALPATHLAB,10
5,LAURUSLABS,10
6,LT,10
7,LTIM,10
8,LTTS,10
9,LUPIN,10
10,M&M,10
11,M&MFIN,10
12,MANAPPURAM,10
13,MARICO,10
14,MARUTI,10
15,MCDOWELL-N,10
16,MCX,10
17,MGL,10
18,MOTHERSON,10
19,JKCEMENT,10
20,ITC,10
21,IPCALAB,10
22,IEX,10
23,HINDUNILVR,10
24,IBULHSGFIN,10
25,ICICIGI,10
26,ICICIPRULI,10
27,IDEA,10
28,IDFC,10
29,IDFCFIRSTB,10
30,IGL,10
31,IOC,10
32,INDHOTEL,10
33,INDIACEM,10
34,ABB,10
35,INDIGO,10
36,INDUSINDBK,10
37,INDUSTOWER,10
38,INTELLECT,10
39,MUTHOOTFIN,10
40,NAUKRI,10
41,HINDCOPPER,10
42,NIFTY,10
43,SUNPHARMA,10
44,SUNTV,10
45,SYNGENE,10
46,TATACHEM,10
47,TATACOMM,10
48,TATAMOTORS,10
49,TATASTEEL,10
50,TCS,10
51,TITAN,10
52,TORNTPHARM,10
53,TRENT,10
54,UBL,10
55,ULTRACEMCO,10
56,UPL,10
57,VEDL,10
58,WIPRO,10
59,ZEEL,10
60,SRF,10
61,SIEMENS,10
62,SHRIRAMFIN,10
63,PIIND,10
64,NMDC,10
65,OBEROIRLTY,10
66,ONGC,10
67,PEL,10
68,PERSISTENT,10
69,PETRONET,10
70,PFC,10
71,PNB,10
72,SBIN,10
73,POLYCAB,10
74,RAMCOCEM,10
75,RBLBANK,10
76,RECLTD,10
77,RELIANCE,10
78,SAIL,10
79,SBICARD,10
80,HINDPETRO,10
81,INDIAMART,10
82,HINDALCO,10
83,BRITANNIA,10
84,BATAINDIA,10
85,BEL,10
86,BERGEPAINT,10
87,BHARATFORG,10
88,BHARTIARTL,10
89,BHEL,10
90,BIOCON,10
91,CANBK,10
92,CUB,10
93,HEROMOTOCO,10
94,CHAMBLFERT,10
95,CHOLAFIN,10
96,CIPLA,10
97,COFORGE,10
98,COLPAL,10
99,CONCOR,10
100,BANKNIFTY,10
101,BANKBARODA,10
102,BANDHANBNK,10
103,BALRAMCHIN,10
104,ABFRL,10
105,ACC,10
106,ADANIPORTS,10
107,ALKEM,10
108,APOLLOHOSP,10
109,APOLLOTYRE,10
110,ASHOKLEY,10
111,ASIANPAINT,10
112,ASTRAL,10
113,ATUL,10
114,AUBANK,10
115,AUROPHARMA,10
116,BAJAJ-AUTO,10
117,BAJFINANCE,10
118,BALKRISIND,10
119,COROMANDEL,10
120,CANFINHOME,10
121,FEDERALBNK,10
122,HCLTECH,10
123,GLENMARK,10
124,GMRINFRA,10
125,EXIDEIND,10
126,GNFC,10
127,GODREJCP,10
128,GODREJPROP,10
129,GRANULES,10
130,GRASIM,10
131,GUJGASLTD,10
132,HAL,10
133,EICHERMOT,10
134,DABUR,10
135,HAVELLS,10
136,DLF,10
137,HDFCBANK,10
138,DALBHARAT,10
139,DEEPAKNTR,10
140,DELTACORP,10
141,DIVISLAB,10
142,GAIL,10
143,HDFCAMC,10
144,ADANIENT,9
145,TVSMOTOR,9
146,AXISBANK,9
147,TATAPOWER,9
148,BAJAJFINSV,9
149,VOLTAS,9
150,TATACONSUM,9
151,SBILIFE,9
152,ICICIBANK,9
153,ABCAPITAL,9
154,INFY,9
155,HDFCLIFE,9
156,CUMMINSIND,9
157,DRREDDY,9
158,JSWSTEEL,9
159,CROMPTON,9
160,METROPOLIS,9
161,MPHASIS,9
162,DIXON,9
163,BSOFT,9
164,OFSS,9
165,JUBLFOOD,9
166,BPCL,9
167,ZYDUSLIFE,9
168,PIDILITIND,9
169,JINDALSTEL,9
170,POWERGRID,9
171,ESCORTS,9
172,IRCTC,9
173,AMBUJACEM,8
174,TECHM,8
175,MFSL,8
176,COALINDIA,8
177,LICHSGFIN,8
178,RAIN,8
179,HDFC,8
180,NAVINFLUOR,8
181,NTPC,8
182,SHREECEM,8
183,NESTLEIND,7
184,PAGEIND,7
185,BOSCHLTD,7
186,MRF,6
187,WHIRLPOOL,6
188,PVRINOX,6
189,ABBOTINDIA,5
190,PVR,4
191,TORNTPOWER,2
192,FSL,2
193,HONAUT,1
