,break_even_date,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover,id
0,2023-04-03,23320,221246,1107841,1166,156,7,1237276,501,129435,128269,12826915,default-default
1,2023-04-03,23200,282912,843223,1160,156,7,969357,298,126134,124974,12497396,default-aggr
2,2023-03-31,24680,235305,901835,1234,158,7,1036072,383,134237,133003,13300294,default-cons
3,2023-05-05,19320,216853,501712,966,248,4,605000,231,103288,102322,10232175,default-patience
4,2023-05-05,26000,142454,563212,1300,85,6,648440,395,85228,83928,8392772,default-low_capital
5,2023-03-31,19960,276985,1188192,998,235,12,1342023,429,153831,152833,15283315,default-high_capital
6,2023-04-03,25560,278655,1146738,1278,84,14,1312638,412,165900,164622,16462244,default-low_to_high_capital
7,2023-08-04,18920,901853,-746286,946,277,0,-657739,-83,88547,87601,8760138,default-delayed_entry
8,2023-03-31,25200,211100,1140110,1260,158,7,1279319,540,139209,137949,13794871,allow_overlap-default
9,2023-04-03,25200,262930,796367,1260,158,7,932104,303,135737,134477,13447656,allow_overlap-aggr
10,2023-03-31,25200,235305,903928,1260,158,7,1040751,384,136823,135563,13556303,allow_overlap-cons
11,2023-06-08,21440,263156,446814,1072,255,4,559893,170,113079,112007,11200719,allow_overlap-patience
12,2023-05-05,28080,155831,577256,1404,87,6,668393,370,91137,89733,8973316,allow_overlap-low_capital
13,2023-03-31,21720,246360,1144565,1086,240,12,1310332,465,165767,164681,16468054,allow_overlap-high_capital
14,2023-04-03,27800,273557,1149600,1390,86,14,1328222,420,178622,177232,17723152,allow_overlap-low_to_high_capital
15,2023-08-04,19960,950219,-803820,998,296,0,-710425,-85,93395,92397,9239740,allow_overlap-delayed_entry
16,2022-05-17,9760,280551,356722,488,759,3,409306,127,52584,52096,5209614,default-default
17,2022-05-17,9720,335251,311487,486,758,3,363384,93,51897,51411,5141079,default-aggr
18,2022-02-25,10520,195541,329272,526,760,3,385380,168,56108,55582,5558208,default-cons
19,2022-04-19,8040,321025,154433,402,802,2,196465,48,42032,41630,4163028,default-patience
20,2022-05-18,10560,127702,123002,528,736,6,154449,96,31447,30919,3091940,default-low_capital
21,2022-05-16,7800,230063,349623,390,811,2,408094,152,58471,58081,5808111,default-high_capital
22,2022-05-17,10840,267155,363194,542,725,4,427741,136,64547,64005,6400508,default-low_to_high_capital
23,2022-06-30,8320,400919,-288680,416,802,0,-250024,-72,38656,38240,3823989,default-delayed_entry
24,2022-05-17,10600,256952,415641,530,760,3,473017,162,57376,56846,5684608,allow_overlap-default
25,2022-05-17,10600,320267,333869,530,760,3,390419,104,56550,56020,5602009,allow_overlap-aggr
26,2022-02-25,10600,195541,338474,530,760,3,395071,173,56597,56067,5606661,allow_overlap-cons
27,2022-04-19,8800,310206,176303,440,806,2,222327,57,46024,45584,4558435,allow_overlap-patience
28,2022-06-23,11360,147191,132744,568,737,7,166558,90,33814,33246,3324585,allow_overlap-low_capital
29,2022-05-16,8320,217147,399889,416,818,2,462621,184,62732,62316,6231641,allow_overlap-high_capital
30,2022-05-16,11880,299770,441204,594,727,4,512548,147,71344,70750,7075020,allow_overlap-low_to_high_capital
31,2022-06-30,8880,426614,-305790,444,806,0,-264328,-72,41462,41018,4101850,allow_overlap-delayed_entry
32,2022-09-15,13920,235594,773404,696,119,2,852870,328,79466,78770,7877011,default-default
33,2022-10-04,13840,353461,671366,692,118,2,749351,190,77985,77293,7729333,default-aggr
34,2022-08-19,14840,138104,610222,742,121,2,692716,442,82494,81752,8175225,default-cons
35,2022-12-15,12520,280296,419746,626,151,0,488643,150,68897,68271,6827079,default-patience
36,2022-09-16,15080,185783,347420,754,84,3,399069,187,51649,50895,5089531,default-low_capital
37,2022-09-16,11840,219804,786589,592,174,3,878367,358,91778,91186,9118648,default-high_capital
38,2022-09-16,15600,316187,1045588,780,69,4,1153776,331,108188,107408,10740840,default-low_to_high_capital
39,2022-12-30,10720,543576,-351932,536,206,0,-300827,-65,51105,50569,5056948,default-delayed_entry
40,2022-09-15,15280,238867,782983,764,121,2,869397,328,86414,85650,8565026,allow_overlap-default
41,2022-10-03,15280,404683,666532,764,121,2,751770,165,85238,84474,8447399,allow_overlap-aggr
42,2022-08-19,15280,149129,610812,764,121,2,695487,410,84675,83911,8391116,allow_overlap-cons
43,2022-12-16,13920,319359,392484,696,157,0,468008,123,75524,74828,7482827,allow_overlap-patience
44,2022-09-16,16600,204531,369062,830,87,3,425573,180,56511,55681,5568066,allow_overlap-low_capital
45,2022-09-16,13000,238144,813377,650,177,3,913757,342,100380,99730,9972985,allow_overlap-high_capital
46,2022-09-15,17240,355220,1102750,862,70,4,1220992,310,118242,117380,11737980,allow_overlap-low_to_high_capital
47,2022-12-30,11640,619896,-389140,582,214,0,-333734,-63,55406,54824,5482406,allow_overlap-delayed_entry
