,Key,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover
0,default-default,29720,202728,1355430,1486,234,2,1520414,669,164984,163498,16349799
1,default-aggr,29560,345208,1249609,1478,233,2,1412687,362,163078,161600,16159967
2,default-cons,31520,147269,1203386,1576,240,2,1375884,817,172498,170922,17092215
3,default-patience,24400,444937,734334,1220,350,1,866405,165,132071,130851,13085058
4,default-low_capital,32280,242258,725156,1614,170,2,831576,299,106420,104806,10480631
5,default-high_capital,25400,309612,1575954,1270,338,6,1772561,509,196607,195337,19533653
6,default-low_to_high_capital,33560,360611,1765978,1678,121,7,1987567,490,221589,219911,21991132
7,allow_overlap-default,32160,187256,1473773,1608,242,2,1652203,787,178430,176822,17682174
8,allow_overlap-aggr,32160,331211,1412625,1608,242,2,1590437,427,177812,176204,17620407
9,allow_overlap-cons,32160,140429,1219319,1608,242,2,1395178,868,175859,174251,17425148
10,allow_overlap-patience,27360,516248,768053,1368,363,1,915188,149,147135,145767,14576695
11,allow_overlap-low_capital,34920,267738,777556,1746,173,2,892279,290,114723,112977,11297653
12,allow_overlap-high_capital,27680,363878,1703150,1384,350,6,1917043,468,213893,212509,21250874
13,allow_overlap-low_to_high_capital,36680,349853,1934992,1834,124,7,2176762,553,241770,239936,23993561
