,Key,brokerage,capital_required,net_pnl,no_of_trades,non_tradables_no_entry_count,non_tradables_no_exit_count,pnl,roi,total_expense,transaction_fees,turnover
0,default-default,23920,299217,1151073,1196,333,4,1281584,385,130511,129315,12931458
1,default-aggr,23440,595116,973212,1172,330,4,1099528,164,126316,125144,12514375
2,default-cons,25280,173932,996209,1264,339,4,1132078,573,135869,134605,13460512
3,default-patience,18800,450004,585324,940,454,2,685173,130,99849,98909,9890853
4,default-low_capital,28120,217156,585390,1406,214,5,671638,270,86248,84842,8484215
5,default-high_capital,20240,276326,1375142,1012,420,6,1530735,498,155593,154581,15458107
6,default-low_to_high_capital,27200,296388,1578107,1360,238,6,1745684,532,167577,166217,16621676
7,allow_overlap-default,25560,328394,1220971,1278,340,4,1360490,372,139519,138241,13824067
8,allow_overlap-aggr,25560,616333,1071608,1278,340,4,1209618,174,138010,136732,13673195
9,allow_overlap-cons,25560,164759,1020977,1278,340,4,1158476,620,137499,136221,13622053
10,allow_overlap-patience,20640,464472,633223,1032,465,2,742980,136,109757,108725,10872480
11,allow_overlap-low_capital,30320,253274,589178,1516,220,5,682209,233,93031,91515,9151488
12,allow_overlap-high_capital,21920,328269,1536967,1096,429,6,1706284,468,169317,168221,16822065
13,allow_overlap-low_to_high_capital,29360,380768,1673243,1468,243,6,1854744,439,181501,180033,18003339
