shower;ra;dec;day;month
ACE;198;-57;28;1
ACE;200;-57;30;1
ACE;208;-59;5;2
ACE;214;-60;10;2
ACE;220;-62;15;2
ACE;225;-63;20;2
ACE;226;-63;21;2
AMO;112;2;15;11
AMO;116;1;20;11
AMO;120;0;25;11
ANT;112;21;1;1
ANT;117;20;5;1
ANT;122;19;10;1
ANT;127;17;15;1
ANT;132;16;20;1
ANT;138;15;25;1
ANT;143;13;30;1
ANT;149;11;5;2
ANT;154;9;10;2
ANT;159;7;15;2
ANT;164;5;20;2
ANT;172;2;28;2
ANT;177;0;5;3
ANT;182;-2;10;3
ANT;187;-4;15;3
ANT;192;-6;20;3
ANT;197;-7;25;3
ANT;202;-9;30;3
ANT;208;-11;5;4
ANT;213;-13;10;4
ANT;218;-15;15;4
ANT;222;-16;20;4
ANT;227;-18;25;4
ANT;232;-19;30;4
ANT;237;-20;5;5
ANT;242;-21;10;5
ANT;247;-22;15;5
ANT;252;-22;20;5
ANT;256;-23;25;5
ANT;262;-23;30;5
ANT;267;-23;5;6
ANT;272;-23;10;6
ANT;276;-23;15;6
ANT;281;-23;20;6
ANT;286;-22;25;6
ANT;291;-21;30;6
ANT;296;-20;5;7
ANT;300;-19;10;7
ANT;305;-18;15;7
ANT;310;-17;20;7
ANT;315;-15;25;7
ANT;319;-14;30;7
ANT;325;-12;5;8
ANT;330;-10;10;8
ANT;335;-8;15;8
ANT;340;-7;20;8
ANT;344;-5;25;8
ANT;349;-3;30;8
ANT;355;-1;5;9
ANT;0;1;10;9
ANT;85;23;5;12
ANT;90;23;10;12
ANT;96;23;15;12
ANT;101;23;20;12
ANT;106;22;25;12
ANT;111;21;30;12
ANT;112;21;31;12
AUR;85;40;25;8
AUR;90;39;30;8
AUR;96;39;5;9
AUR;102;39;10;9
CAP;283;-17;5;5
CAP;285;-16;5;7
CAP;289;-15;10;7
CAP;294;-14;15;7
CAP;299;-12;20;7
CAP;303;-11;25;7
CAP;307;-10;30;7
CAP;313;-8;5;8
CAP;318;-6;10;8
CAP;323;-4;15;8
COM;172;20;12;12
COM;174;19;15;12
COM;177;18;20;12
