,Identifier,SERIES,Open,High,Low,Close,LAST,PreviousClose,TOTTRDQTY,Turnover (Rs. Cr.),TIMESTAMP,TOTALTRADES,ISIN,Date,Growth,Historic High,Low From Historic High,Month,Month Open,Month Close,Month Low,Month High,Monthly - Growth,Monthly - Highest Fall From Start,Monthly - Highest Fall From Historic High,Monthly - Highest Rise From Start,Monthly - Turnover,Year,Year Open,Year Close,Year Low,Year High,Annual - Growth,Annual - Highest Fall From Start,Annual - Highest Fall From Historic High,Annual - Highest Rise From Start,Annual - Turnover,ClosePriceDiff,Gain,Loss,AvgGain,AvgLoss,Rs,Rsi,RsiCrossedAbove,RsiCrossedBelow
26246,LT,EQ,2259.85,2283.8,2241.0,2273.1,2270.0,2266.5,2176835,4931700203.9,19-JAN-2023,134246,INE018A01030,2023-01-19,8.789394338222982,2283.8,0,2023-01,2092.9,2124.4,2058.0,2297.65,1.6726889851396431,-0.8216669477843994,0,9.537090007627775,97986573102.35,2023,2092.9,2635.9,2058.0,2690.0,26.152815334178865,-0.8216669477843994,0,28.241800152555307,694427482985.6,6.599999999999909,6.6,0.0,17.210714285714285,4.0928571428571425,4.205061082024433,80.78792958927075,True,False
27160,POLYCAB,EQ,2740.05,2843.85,2722.85,2828.6,2819.0,2753.6,633130,1775022182.75,19-JAN-2023,42944,INE455K01017,2023-01-19,9.635658914728678,2843.85,0,2023-01,2570.2,2921.25,2546.05,2934.65,13.226744186046513,0.0,0,12.481793790724419,16692462238.25,2023,2570.2,4599.35,2546.05,4924.0,78.26937984496125,0.0,0,88.73131467995401,244831825243.9,75.0,75.0,0.0,21.410714285714285,3.6535714285714285,5.860215053763441,85.42319749216301,True,False
27776,HAVELLS,EQ,1200.0,1223.9,1188.4,1205.45,1206.5,1202.8,1825960,2200343637.55,19-JAN-2023,69518,INE176B01034,2023-01-19,9.526621842631306,1223.9,0,2023-01,1103.95,1181.75,1099.0,1223.9,7.373250954025086,0.0,0,10.013483146067424,26250512447.2,2023,1103.95,1319.95,1099.0,1408.3,19.930038161003104,0.0,0,26.588764044943815,153074515631.4,2.650000000000091,2.65,0.0,9.717857142857143,2.2285714285714286,4.360576923076923,81.34529147982063,True,False
32366,ABB,EQ,2957.45,2957.45,2920.0,2945.05,2949.85,2947.7,147969,434823674.3,24-JAN-2023,14249,INE117A01022,2023-01-24,9.891975596559652,2979.0,0,2023-01,2685.0,2839.5,2662.5,2979.0,5.953469281143312,0.0,0,9.804644305197199,13393530304.3,2023,2685.0,4525.95,2662.5,4614.35,68.8818821246665,0.0,0,70.08293402137856,173008298650.75,-2.649999999999636,0.0,2.65,21.370408163265303,4.4275510204081625,4.826688176999308,82.83759196266118,True,False
33712,PERSISTENT,EQ,4529.7,4615.0,4516.35,4594.0,4590.3,4588.3,480661,2199056827.85,25-JAN-2023,38137,INE262H01013,2023-01-25,14.053054283196174,4680.0,0,2023-01,3888.95,4687.55,3840.0,4749.0,16.37557566504054,-0.2597402597402597,0,17.404202719406676,50096328641.75,2023,3888.95,4882.1,3840.0,5278.95,21.205576037438416,-0.2597402597402597,0,30.505562422744127,269186303347.35,5.699999999999818,5.7,0.0,57.38163265306122,13.242091836734696,4.333275539887109,81.24979681771387,True,False
35470,HINDCOPPER,EQ,127.8,129.4,126.8,127.35,127.55,128.65,3001602,383590922.3,25-JAN-2023,15238,INE531E01026,2023-01-25,9.07922912205567,132.35,0,2023-01,109.6,123.3,109.55,132.35,5.6102783725910035,0.0,0,12.92662116040955,17236573533.65,2023,109.6,148.7,93.85,157.4,27.366167023554596,-14.331355545413057,0,34.30034129692833,93211793687.7,-1.3000000000000114,0.0,1.3,1.0811224489795919,0.24209183673469387,4.465753424657534,81.70426065162907,True,False
35994,MFSL,EQ,860.3,860.3,831.55,838.2,833.0,853.85,1628331,1365195718.7,27-JAN-2023,20213,INE180A01020,2023-01-27,22.624533684441534,874.4,0,2023-01,680.9,835.65,673.9,874.4,22.251481237656357,0.0,0,27.38927738927739,27926617360.3,2023,680.9,785.25,599.1,874.4,14.878209348255439,-11.099569669090362,0,27.38927738927739,105849146174.4,-15.649999999999977,0.0,15.65,8.69872448979592,1.9602040816326531,4.4376626756897455,81.60974559031186,True,False
39706,MFSL,EQ,837.1,843.2,828.25,835.65,834.0,834.55,1018073,849488058.9,31-JAN-2023,22717,INE180A01020,2023-01-31,22.251481237656357,874.4,0,2023-01,680.9,835.65,673.9,874.4,22.251481237656357,0.0,0,27.38927738927739,27926617360.3,2023,680.9,785.25,599.1,874.4,14.878209348255439,-11.099569669090362,0,27.38927738927739,105849146174.4,1.1000000000000227,1.1,0.0,8.369387755102041,2.022959183673469,4.13720050441362,80.53414502430164,True,False
48096,ITC,EQ,382.5,388.2,379.6,383.4,383.5,380.65,25790153,9918627583.65,06-FEB-2023,245965,INE154A01025,2023-02-06,15.187021180712017,388.2,0,2023-02,353.0,376.7,329.1,394.0,4.233536247924741,0.0,0,7.738583538419473,139487677936.5,2023,330.9,454.9,326.0,499.7,36.668168844824976,-1.1072349461550062,0,49.610778443113766,733750199075.9,2.75,2.75,0.0,3.8841836734693875,0.24540816326530615,15.827442827442825,94.05732641462812,True,False
51806,ITC,EQ,374.75,377.3,371.55,375.55,374.55,373.25,10420462,3908964512.1,08-FEB-2023,125965,INE154A01025,2023-02-08,12.82860147213459,388.2,0,2023-02,353.0,376.7,329.1,394.0,4.233536247924741,0.0,0,7.738583538419473,139487677936.5,2023,330.9,454.9,326.0,499.7,36.668168844824976,-1.1072349461550062,0,49.610778443113766,733750199075.9,2.3000000000000114,2.3,0.0,3.802295918367346,0.918622448979592,4.139128019994445,80.54144601750784,True,False
52476,M&MFIN,EQ,266.15,271.45,266.15,270.4,270.6,269.05,4055214,1093290091.0,09-FEB-2023,51061,INE774D01024,2023-02-09,12.175897116780735,271.45,0,2023-02,235.5,251.8,226.0,272.0,7.675860594398126,0.0,0,11.315735625127893,19534701177.5,2023,235.05,295.55,215.65,346.55,22.60941713337482,-7.346938775510202,0,42.87775716347145,178472485947.15,1.349999999999966,1.35,0.0,3.276785714285715,0.7329081632653062,4.470936303515489,81.72159307799974,True,False
