,Identifier,SERIES,Open,High,Low,Close,LAST,PreviousClose,TOTTRDQTY,Turnover (Rs. Cr.),TIMESTAMP,TOTALTRADES,ISIN,Date,Growth,Historic High,Low From Historic High,Month,Month Open,Month Close,Month Low,Month High,Monthly - Growth,Monthly - Highest Fall From Start,Monthly - Highest Fall From Historic High,Monthly - Highest Rise From Start,Monthly - Turnover,Year,Year Open,Year Close,Year Low,Year High,Annual - Growth,Annual - Highest Fall From Start,Annual - Highest Fall From Historic High,Annual - Highest Rise From Start,Annual - Turnover,ClosePriceDiff,Gain,Loss,AvgGain,AvgLoss,Rs,Rsi,RsiCrossedAbove,RsiCrossedBelow
26761,TATAPOWER,EQ,206.95,207.5,205.05,205.3,205.45,207.5,4978935,1024500025.35,19-JAN-2023,55023,INE245A01021,2023-01-19,-3.0918102430965226,213.0,0,2023-01,208.75,212.9,196.65,214.65,0.4956337030918156,-5.547550432276649,0,1.1545711592837027,36870252369.25,2023,208.75,232.8,182.35,245.4,9.88907245692708,-12.415946205571563,0,15.645617342130075,308707969932.2,-2.1999999999999886,0.0,2.2,0.19999999999999998,0.6678571428571429,0.29946524064171115,23.045267489711932,False,True
28424,LICHSGFIN,EQ,391.65,394.5,387.1,389.5,389.55,391.65,1028638,401463554.65,20-JAN-2023,18180,INE115A01026,2023-01-20,-8.234185416421248,431.0,0,2023-01,416.5,401.2,379.7,431.0,-5.477676993756626,-7.795046138902386,0,1.411764705882353,16150009075.1,2023,416.5,440.9,315.1,445.45,3.875603722464363,-23.48227294803302,0,4.81176470588235,134476396534.2,-2.1499999999999773,0.0,2.15,0.8323979591836734,3.1614795918367347,0.26329379488420884,20.841849770056214,False,True
28496,MUTHOOTFIN,EQ,1050.95,1064.85,1047.05,1052.45,1052.0,1050.35,499047,526794857.1,20-JAN-2023,15647,INE414G01012,2023-01-20,-3.595310066868187,1102.65,0,2023-01,1065.3,1044.1,1001.0,1102.65,-4.360172208482195,-5.748316934230965,0,0.6986301369863097,10516260532.85,2023,1065.3,1362.05,911.25,1365.0,24.764129339562142,-14.1989548514665,0,24.65753424657534,86467008516.65,2.1000000000001364,2.1,0.0,0.6441326530612245,3.2367346938775508,0.19900693568726358,16.597646749490565,False,True
28505,MCDOWELL-N,EQ,834.0,837.1,818.9,821.95,821.0,834.9,806691,667645592.2,20-JAN-2023,43608,INE854D01024,2023-01-20,-5.490398988156835,882.2,0,2023-01,875.0,768.65,738.8,882.2,-11.61894906289526,-14.584658072720977,0,0.0,20595195958.3,2023,875.0,1005.9,730.55,1049.0,15.66057261124525,-15.538470431816878,0,18.907277261391968,130658675088.1,-12.949999999999932,0.0,12.95,1.581887755102041,4.815051020408163,0.3285298013245034,24.728824373903336,False,True
28607,TVSMOTOR,EQ,1005.0,1014.3,967.55,969.9,970.5,1014.05,1697151,1670102860.25,20-JAN-2023,41458,INE494B01023,2023-01-20,-9.61278598387773,1092.8,0,2023-01,1085.0,1036.75,967.55,1092.8,-3.382880574064578,-8.721698113207552,0,0.0,37445138855.25,2023,1085.0,1340.3,967.55,1400.9,24.905642793905226,-8.721698113207552,0,28.193631039531493,217419619009.8,-44.14999999999998,0.0,44.15,2.158928571428571,9.22576530612245,0.23401078390709246,18.96343102984673,False,True
28822,SBICARD,EQ,770.0,770.9,751.0,752.45,753.1,769.15,1522013,1152506906.6,20-JAN-2023,56080,INE018E01016,2023-01-20,-5.334339812543244,801.2,0,2023-01,795.0,722.85,695.55,801.2,-9.058312889224382,-12.078119074706112,0,0.19383480272620124,21461406331.9,2023,795.0,880.8,695.55,933.0,10.813361011511597,-12.078119074706112,0,16.676045770024388,135286101127.45,-16.699999999999932,0.0,16.7,1.4061224489795916,4.303571428571429,0.3267338470657972,24.626932356357784,False,True
29570,IBULHSGFIN,EQ,136.9,138.5,131.5,132.3,132.0,136.65,10100537,1364147739.25,20-JAN-2023,52740,INE148I01020,2023-01-20,-14.507269789983837,157.9,0,2023-01,155.2,122.85,116.5,157.9,-20.613893376413575,-24.350649350649352,0,0.0,29605112601.25,2023,155.2,165.35,91.8,169.3,6.849757673667202,-40.38961038961039,0,7.219759341355292,202791605500.95,-4.349999999999994,0.0,4.35,0.5206632653061225,2.031887755102041,0.2562460765850596,20.397761343194077,False,True
29588,IEX,EQ,138.5,138.8,134.8,135.7,135.4,138.5,2769418,379633925.05,20-JAN-2023,36872,INE022Q01020,2023-01-20,-4.6045694200351575,143.8,0,2023-01,140.45,138.6,132.0,143.8,-2.565905096660812,-6.016375934496255,0,0.8061689449702107,8595552527.2,2023,140.45,126.9,116.0,163.75,-10.790861159929698,-17.408330366678527,0,14.791447599018573,156709188945.75,-2.8000000000000114,0.0,2.8,0.2221938775510204,0.6709183673469388,0.3311787072243346,24.878606112539273,False,True
30210,LTTS,EQ,3258.0,3336.5,3226.0,3322.9,3320.0,3230.7,490125,1610465682.7,23-JAN-2023,35671,INE010V01017,2023-01-23,-10.758694776420032,3784.0,0,2023-01,3689.7,3335.9,3215.85,3784.0,-10.409560897005504,-12.522441651705563,0,1.203530355710083,27184705525.75,2023,3689.7,4239.7,3215.85,4289.7,13.863300657983075,-12.522441651705563,0,14.728537041989831,158081293389.05,92.20000000000027,92.2,0.0,11.911734693877552,38.01173469387756,0.31336993141215785,23.859989780275924,False,True
30797,SRF,EQ,2107.0,2118.7,2095.1,2113.75,2117.0,2105.2,401917,847412132.15,23-JAN-2023,27788,INE647A01010,2023-01-23,-7.795153656568293,2312.0,0,2023-01,2294.6,2182.45,2082.1,2312.0,-4.7983598333660495,-8.52536080662523,0,0.17331022530329288,24179909404.25,2023,2294.6,2284.15,2040.0,2636.0,-0.36205806015397185,-10.374975287217454,0,14.211438474870016,195576890600.65,8.550000000000182,8.55,0.0,5.827295918367347,17.636224489795914,0.33041629299621034,24.83555671526578,False,True
31886,GRASIM,EQ,1634.0,1637.95,1593.2,1603.2,1602.95,1631.3,449028,722177259.4,24-JAN-2023,33153,INE047A01021,2023-01-24,-7.3990642869519965,1748.0,0,2023-01,1725.4,1590.2,1549.5,1748.0,-8.149945127938537,-9.912790697674419,0,0.0,21681821488.55,2023,1725.4,1855.6,1527.05,1864.95,7.179576041125163,-11.218023255813957,0,6.690503432494281,146657993190.15,-28.09999999999991,0.0,28.1,3.7441326530612242,11.438775510204081,0.3273193577163247,24.660181124720665,False,True
32753,RBLBANK,EQ,166.95,168.0,159.8,160.75,160.0,167.4,12502874,2029515354.45,24-JAN-2023,51466,INE976G01028,2023-01-24,-11.359250068927485,189.3,0,2023-01,180.55,155.75,145.6,189.3,-14.116349600220564,-18.431372549019613,0,3.72602739726028,47249524153.15,2023,180.55,216.0,131.6,251.4,19.106699751861044,-26.27450980392157,0,37.753424657534254,318310175507.6,-6.650000000000006,0.0,6.65,0.7660714285714285,2.517857142857143,0.30425531914893617,23.327895595432295,False,True
33092,TRENT,EQ,1177.0,1208.55,1176.95,1202.75,1206.0,1177.25,1173927,1406783192.0,24-JAN-2023,48664,INE849A01020,2023-01-24,-10.386320455984807,1358.4,0,2023-01,1358.0,1196.6,1155.0,1358.4,-10.84454047610179,-13.288288288288289,0,0.0,17654577766.0,2023,1358.0,1689.8,1155.0,1791.95,25.9024699176694,-13.288288288288289,0,31.916224970553586,110166142761.7,25.5,25.5,0.0,4.049999999999999,13.514030612244898,0.29968853232656906,23.058488620354083,False,True
35544,PAGEIND,EQ,39990.0,40210.85,39170.2,39871.75,39890.0,39854.9,30613,1211870873.45,27-JAN-2023,13928,INE761H01022,2023-01-27,-4.888474883143439,43189.95,0,2023-01,43070.0,40036.5,39170.2,43189.95,-4.4954742307265745,-6.347399880454281,0,0.0,16875712214.75,2023,43070.0,39338.85,34952.65,43570.0,-6.159673958548281,-16.43120143454871,0,0.8799500809794939,150784900630.45,16.849999999998545,16.85,0.0,62.39974489795918,223.56352040816327,0.27911416309796444,21.820895362612575,False,True
35937,MUTHOOTFIN,EQ,1043.0,1048.05,1001.0,1010.15,1010.15,1040.05,577350,585026550.7,27-JAN-2023,37265,INE414G01012,2023-01-27,-7.470000916002571,1102.65,0,2023-01,1065.3,1044.1,1001.0,1102.65,-4.360172208482195,-5.748316934230965,0,0.6986301369863097,10516260532.85,2023,1065.3,1362.05,911.25,1365.0,24.764129339562142,-14.1989548514665,0,24.65753424657534,86467008516.65,-29.899999999999977,0.0,29.9,0.9020408163265304,5.803571428571429,0.1554285714285714,13.452027695351134,False,True
36043,UBL,EQ,1574.1,1583.0,1530.35,1542.7,1557.95,1572.15,196453,306276978.2,27-JAN-2023,9613,INE686F01025,2023-01-27,-8.537380684176203,1709.2,0,2023-01,1698.0,1592.15,1530.35,1709.2,-5.605620442283747,-8.750223600262357,0,0.0,5224522955.95,2023,1698.0,1583.3,1353.5,1709.2,-6.130313630165417,-19.295211973048712,0,0.0,60804420597.55,-29.450000000000045,0.0,29.45,2.278316326530612,11.584948979591834,0.19666174883843837,16.434196967466505,False,True
36141,VOLTAS,EQ,759.0,761.35,737.2,744.95,748.0,756.55,1474004,1098399672.4,27-JAN-2023,42723,INE226A01021,2023-01-27,-7.188687472746519,834.0,0,2023-01,799.9,802.65,737.2,834.0,0.0,-7.153652392947098,0,3.6862062534966094,17904275996.5,2023,799.9,826.4,737.2,934.0,2.958948483149567,-7.153652392947098,0,16.11860508485112,166429219724.3,-11.599999999999909,0.0,11.6,1.804081632653061,6.141326530612244,0.29376090387970427,22.705965453027673,False,True
36162,ZEEL,EQ,220.9,220.9,214.55,215.35,216.0,220.0,6687632,1449534284.6,27-JAN-2023,38462,INE256A01028,2023-01-27,-11.415055532702592,244.2,0,2023-01,241.15,226.8,213.75,244.2,-6.705059646236109,-10.452450775031416,0,0.0,24233026804.65,2023,241.15,235.9,170.1,247.2,-2.961744138214722,-28.739002932551315,0,1.2285012285012287,324476883045.75,-4.650000000000006,0.0,4.65,0.3780612244897959,2.02015306122449,0.18714484152039396,15.764280395702585,False,True
36262,SHREECEM,EQ,22257.55,22379.9,21410.0,21901.2,21725.0,22146.8,52018,1135217507.1,27-JAN-2023,19800,INE070A01015,2023-01-27,-6.623405969805625,24773.0,0,2023-01,23296.5,23684.55,21410.0,24773.0,0.9799741629609355,-7.47223302649207,0,5.327604863105573,21379441081.85,2023,23296.5,24253.45,21410.0,27049.0,3.4055008164674883,-7.47223302649207,0,15.004496183027596,175841507318.9,-245.59999999999854,0.0,245.6,67.33801020408163,223.5829081632653,0.30117691355418763,23.146499943002965,False,True
36290,SBICARD,EQ,718.9,718.95,697.05,699.35,702.95,715.1,2741068,1928070295.15,27-JAN-2023,89836,INE018E01016,2023-01-27,-12.014845568346228,801.2,0,2023-01,795.0,722.85,695.55,801.2,-9.058312889224382,-12.078119074706112,0,0.19383480272620124,21461406331.9,2023,795.0,880.8,695.55,933.0,10.813361011511597,-12.078119074706112,0,16.676045770024388,135286101127.45,-15.75,0.0,15.75,2.3811224489795917,7.780867346938775,0.3060227533523491,23.431655579264458,False,True
36494,COROMANDEL,EQ,859.9,859.9,838.0,854.1,854.45,855.5,263739,223907459.75,27-JAN-2023,16991,INE169A01031,2023-01-27,-4.830352665886681,910.6,0,2023-01,891.6,895.05,838.0,910.6,-0.26742436904563943,-4.902405810258743,0,1.2058905251458762,6189052809.65,2023,891.6,1046.65,838.0,1052.0,16.624881609003292,-4.902405810258743,0,16.921367046401777,58324695913.05,-1.3999999999999773,0.0,1.4,1.0977040816326529,4.325,0.25380441193818565,20.24274356682504,False,True
36507,COLPAL,EQ,1456.0,1470.85,1438.5,1446.9,1450.0,1451.2,678893,985135716.6,27-JAN-2023,25568,INE259A01022,2023-01-27,-4.818603427293358,1543.1,0,2023-01,1538.0,1453.05,1434.6,1543.1,-4.414038088346554,-5.178624541458748,0,0.0,11099300830.25,2023,1538.0,1995.0,1434.6,2062.1,31.23704897543005,-5.178624541458748,0,33.633594711943495,97016098026.55,-4.2999999999999545,0.0,4.3,2.513775510204081,7.7124999999999995,0.3259352363311613,24.58153516102476,False,True
36544,BHEL,EQ,76.7,77.2,71.65,73.25,73.3,76.7,24286328,1787895174.15,27-JAN-2023,57973,INE257A01026,2023-01-27,-8.608858390517787,83.5,0,2023-01,79.55,78.4,71.65,83.5,-2.1834061135371177,-9.532828282828278,0,2.2657685241886028,29148042941.9,2023,79.55,96.6,66.3,107.1,20.524017467248893,-16.287878787878796,0,31.16962645437843,253649414750.45,-3.450000000000003,0.0,3.45,0.2520408163265306,0.8466836734693877,0.2976800241036457,22.939400975156715,False,True
36649,DALBHARAT,EQ,1737.0,1737.4,1675.0,1693.7,1699.0,1728.35,267790,455566690.45,27-JAN-2023,15210,INE00R701025,2023-01-27,-10.277056735710124,1918.35,0,2023-01,1862.8,1767.75,1672.0,1918.35,-6.354293584785721,-10.10752688172043,0,1.0189573459715593,8320963135.75,2023,1862.8,2004.8,1672.0,2288.8,6.203316204905436,-10.10752688172043,0,20.526592943654563,80705748974.6,-34.649999999999864,0.0,34.65,3.614795918367347,15.826530612244898,0.22840103159252095,18.593360451384328,False,True
36829,BAJFINANCE,EQ,5815.0,5861.55,5680.0,5760.7,5770.05,5795.9,1621352,9347695519.85,27-JAN-2023,150263,INE296A01024,2023-01-27,-12.100705702841887,6660.0,0,2023-01,6565.0,5886.4,5680.0,6660.0,-10.182719816898727,-12.40988472955781,0,0.7564296520423601,175335042144.3,2023,6565.0,7122.15,5485.7,7999.9,8.672897196261676,-15.406145186784382,0,21.02723146747352,1041565880564.75,-35.19999999999982,0.0,35.2,10.492857142857142,33.18035714285714,0.31623701630698026,24.025841272437347,False,True
36866,BATAINDIA,EQ,1540.0,1540.0,1478.1,1496.2,1495.05,1529.8,410791,615178058.25,27-JAN-2023,28256,INE176A01028,2023-01-27,-9.515890054730725,1656.95,0,2023-01,1650.0,1529.35,1478.1,1656.95,-7.511112455021019,-9.880193884705678,0,0.0,8515733366.4,2023,1650.0,1765.4,1381.05,1771.0,6.764234525717404,-15.797335609547913,0,6.883128639971028,69692902205.2,-33.59999999999991,0.0,33.6,3.7540816326530613,13.138265306122449,0.2857364762533494,22.223564589688607,False,True
