,Identifier,SERIES,Open,High,Low,Close,LAST,PreviousClose,TOTTRDQTY,Turnover (Rs. Cr.),TIMESTAMP,TOTALTRADES,ISIN,Date,Growth,Historic High,Low From Historic High,Month,Month Open,Month Close,Month Low,Month High,Monthly - Growth,Monthly - Highest Fall From Start,Monthly - Highest Fall From Historic High,Monthly - Highest Rise From Start,Monthly - Turnover,Year,Year Open,Year Close,Year Low,Year High,Annual - Growth,Annual - Highest Fall From Start,Annual - Highest Fall From Historic High,Annual - Highest Rise From Start,Annual - Turnover,ClosePriceDiff,Gain,Loss,AvgGain,AvgLoss,Rs,Rsi,RsiCrossedAbove,RsiCrossedBelow
25507,ABB,EQ,2600.0,2835.0,2594.0,2772.75,2764.9,2598.55,1136196,3103460113.35,21-JUL-2022,68373,INE117A01022,2022-07-21,21.855017688808818,2835.0,0,2022-07,2260.35,2736.15,2260.35,2835.0,20.246544639521865,0.0,0,22.647631408176508,20596945337.3,2022,2260.35,2683.0,2260.35,3446.3,17.910742929969906,0.0,0,49.09366212416181,156452010078.5,174.19999999999982,174.2,0.0,40.525,5.003571428571428,8.099214846538187,89.01004079071227,True,False
25809,COALINDIA,EQ,197.85,199.45,196.3,198.6,198.5,197.85,6167419,1223003812.15,21-JUL-2022,52446,INE522F01014,2022-07-21,8.376534788540242,200.4,0,2022-07,185.0,211.25,176.6,212.45,15.279672578444748,0.0,0,14.128391082460373,34801120255.15,2022,185.0,225.05,176.6,263.4,22.810368349249664,0.0,0,41.49879129734084,258741600693.1,0.75,0.75,0.0,1.4000000000000001,0.30357142857142855,4.611764705882353,82.18029350104823,True,False
25842,CUMMINSIND,EQ,1155.3,1225.0,1154.05,1220.9,1223.75,1159.1,1189647,1427891607.0,21-JUL-2022,45447,INE298A01020,2022-07-21,18.984504434265688,1225.0,0,2022-07,1016.0,1226.85,1014.0,1244.2,19.56436994444986,0.0,0,20.7726655018443,15900689260.15,2022,1016.0,1380.4,1014.0,1552.0,34.5287983627327,0.0,0,50.650359153562405,107782158822.2,61.80000000000018,61.8,0.0,17.232142857142858,3.317857142857143,5.193756727664155,83.85470976711852,True,False
25956,ESCORTS,EQ,1733.8,1742.0,1715.4,1737.3,1730.0,1733.2,415802,717786088.7,21-JUL-2022,12914,INE042A01014,2022-07-21,18.46573474258438,1793.95,0,2022-07,1449.95,1733.0,1424.55,1793.95,18.17251960450051,0.0,0,21.896446286607326,18445487877.6,2022,1449.95,2140.15,1424.55,2358.35,45.935901807023534,0.0,0,60.24665352993136,143194293511.1,4.099999999999909,4.1,0.0,24.12142857142857,4.778571428571429,5.047832585949177,83.46515076618883,True,False
26066,GRANULES,EQ,307.0,313.3,305.1,308.8,307.75,308.1,1431531,442645736.4,21-JUL-2022,15450,INE101D01020,2022-07-21,10.800143523501982,313.3,0,2022-07,272.1,299.65,268.9,313.3,7.5170434158593435,0.0,0,11.992850759606796,9747640427.8,2022,272.1,318.8,268.9,381.0,14.388231072838186,0.0,0,36.193029490616624,66349290229.6,0.6999999999999886,0.7,0.0,2.832142857142857,0.6821428571428572,4.151832460732984,80.58943089430895,True,False
26103,HAVELLS,EQ,1200.0,1260.0,1197.3,1257.0,1257.6,1223.25,2812165,3462744786.05,21-JUL-2022,89780,INE176B01034,2022-07-21,13.11586051743532,1276.7,0,2022-07,1099.85,1249.35,1092.25,1276.7,12.427446569178844,0.0,0,13.991071428571434,24823464191.75,2022,1099.85,1099.95,1024.5,1405.55,-1.0168728908886349,-6.202792401007096,0,25.49553571428571,116131527429.05,33.75,33.75,0.0,13.689285714285715,3.278571428571429,4.175381263616558,80.67775205219954,True,False
26261,IPCALAB,EQ,1014.05,1020.0,1001.1,1006.45,1009.0,1014.8,137275,138682372.8,21-JUL-2022,12050,INE571A01038,2022-07-21,10.247562712235741,1024.5,0,2022-07,890.25,1000.25,890.25,1024.5,9.568408368934168,0.0,0,12.059064807219032,5447041653.9,2022,890.25,843.1,835.3,1034.3,-7.645963413298275,-6.172423476551535,0,13.130981678971828,34438445078.5,-8.349999999999909,0.0,8.35,8.507142857142856,1.8249999999999997,4.6614481409001955,82.33667473211199,True,False
26569,MRF,EQ,79630.0,80418.4,79555.0,80178.4,80200.0,79784.6,6751,540085135.15,21-JUL-2022,4813,INE883A01011,2022-07-21,11.059183342729261,80998.95,0,2022-07,70300.0,83818.15,70300.0,83970.0,16.100786350168907,0.0,0,15.820689655172412,14297703490.7,2022,70300.0,88535.45,70300.0,96000.0,22.634958715577262,0.0,0,32.41379310344827,134422837719.75,393.79999999998836,393.8,0.0,708.225,137.93214285714285,5.134589989901867,83.69899208184903,True,False
26663,NTPC,EQ,151.0,151.25,150.0,150.85,150.35,150.55,7521568,1133501612.05,21-JUL-2022,38481,INE733E01010,2022-07-21,7.252044081052249,152.25,0,2022-07,142.0,152.95,136.1,154.45,8.745111980092416,-2.6118067978533133,0,7.856145251396648,33917336093.3,2022,142.0,166.45,136.1,182.95,18.343405616779226,-2.6118067978533133,0,27.75837988826816,267099864249.05,0.29999999999998295,0.3,0.0,0.9392857142857143,0.21071428571428572,4.4576271186440675,81.67701863354037,True,False
26680,PIIND,EQ,2960.0,3070.0,2946.5,3061.3,3060.0,2950.15,399094,1207823139.7,21-JUL-2022,35648,INE603J01030,2022-07-21,18.62745098039217,3070.0,0,2022-07,2559.5,3089.9,2511.95,3134.6,19.73572037510657,0.0,0,21.01534600907248,11937010355.6,2022,2559.5,3419.9,2511.95,3698.45,32.52344416027281,0.0,0,42.78351510471962,117579432658.85,111.15000000000009,111.15,0.0,42.15714285714286,7.821428571428571,5.389954337899543,84.35043590110047,True,False
