,Identifier,SERIES,Open,High,Low,Close,LAST,PreviousClose,TOTTRDQTY,Turnover (Rs. Cr.),TIMESTAMP,TOTALTRADES,ISIN,Date,Growth,Historic High,Low From Historic High,Month,Month Open,Month Close,Month Low,Month High,Monthly - Growth,Monthly - Highest Fall From Start,Monthly - Highest Fall From Historic High,Monthly - Highest Rise From Start,Monthly - Turnover,Year,Year Open,Year Close,Year Low,Year High,Annual - Growth,Annual - Highest Fall From Start,Annual - Highest Fall From Historic High,Annual - Highest Rise From Start,Annual - Turnover,ClosePriceDiff,Gain,Loss,AvgGain,AvgLoss,Rs,Rsi,RsiCrossedAbove,RsiCrossedBelow
36249,TORNTPHARM,EQ,1501.0,1515.5,1472.2,1502.8,1505.0,1494.65,380577,569819146.7,28-JUL-2022,19251,INE685A01028,2022-07-28,-48.48043332933372,2964.3,0,2022-07,2850.0,1528.8,1430.0,2964.3,-47.58909134541216,-49.6132908158771,0,1.3435897435897497,9841891270.0,2022,2850.0,1550.6,1430.0,2964.3,-46.841735374277924,-49.6132908158771,0,1.3435897435897497,56523792351.3,8.149999999999864,8.15,0.0,6.090561224489796,101.94056122448978,0.059746200642130896,5.637783896363956,False,True
46194,INDUSTOWER,EQ,204.6,204.7,199.75,200.2,200.25,203.3,4564145,919239027.95,05-AUG-2022,77496,INE121J01017,2022-08-05,-3.7500000000000053,230.9,0,2022-08,223.75,199.8,192.35,229.75,-12.25296442687746,-13.898836168307973,0,0.0,16132172231.9,2022,210.0,190.45,182.5,230.9,-8.437500000000005,-10.757946210268948,0,9.48316737790422,59796826846.8,-3.1000000000000227,0.0,3.1,0.6002551020408163,2.5362244897959187,0.23667270166968413,19.137860919072793,False,True
49831,INDUSTOWER,EQ,199.75,199.85,192.7,193.85,193.8,199.75,7599621,1475317916.45,10-AUG-2022,75556,INE121J01017,2022-08-10,-6.802884615384618,230.9,0,2022-08,223.75,199.8,192.35,229.75,-12.25296442687746,-13.898836168307973,0,0.0,16132172231.9,2022,210.0,190.45,182.5,230.9,-8.437500000000005,-10.757946210268948,0,9.48316737790422,59796826846.8,-5.900000000000006,0.0,5.9,0.6002551020408163,2.460969387755102,0.2439100238416088,19.608333333333334,False,True
55280,INDUSTOWER,EQ,198.0,198.4,194.8,195.8,196.0,196.45,3157543,618338719.25,16-AUG-2022,36571,INE121J01017,2022-08-16,-5.86538461538461,230.9,0,2022-08,223.75,199.8,192.35,229.75,-12.25296442687746,-13.898836168307973,0,0.0,16132172231.9,2022,210.0,190.45,182.5,230.9,-8.437500000000005,-10.757946210268948,0,9.48316737790422,59796826846.8,-0.6499999999999773,0.0,0.65,0.5737244897959185,2.4010204081632653,0.23895027624309398,19.286510590858413,False,True
61345,TATASTEEL,EQ,112.55,112.9,109.55,110.05,109.75,112.55,57134813,6346785640.6,19-AUG-2022,227022,INE081A01020,2022-08-19,-87.39187718393768,976.7,0,2022-08,110.5,108.3,103.25,113.7,0.04618937644341539,-2.731983042863877,0,2.0188425302826376,145865530016.25,2022,866.95,112.65,95.0,976.7,-87.09400240591168,-88.9419159585613,0,11.622857142857148,755839074646.65,-2.5,0.0,2.5,0.9650510204081633,57.31224489795918,0.016838478795000535,1.6559639653836484,False,True
66162,INDUSTOWER,EQ,200.0,200.7,197.0,197.8,197.0,199.1,3270877,650207940.65,24-AUG-2022,32795,INE121J01017,2022-08-24,-4.903846153846148,230.9,0,2022-08,223.75,199.8,192.35,229.75,-12.25296442687746,-13.898836168307973,0,0.0,16132172231.9,2022,210.0,190.45,182.5,230.9,-8.437500000000005,-10.757946210268948,0,9.48316737790422,59796826846.8,-1.299999999999983,0.0,1.3,0.6267857142857142,2.616581632653061,0.2395437262357414,19.325153374233125,False,True
66743,RECLTD,EQ,105.35,105.85,104.3,105.6,105.4,105.4,2277452,239383832.55,24-AUG-2022,15637,INE020B01018,2022-08-24,-15.990453460620532,138.55,0,2022-08,132.0,108.75,102.5,138.55,-18.140760255927734,-22.0532319391635,0,4.172932330827076,10113595720.05,2022,122.8,116.5,91.05,138.55,-7.319013524264123,-24.188176519567026,0,9.96031746031747,99400229713.15,0.19999999999998863,0.2,0.0,0.564795918367347,2.371173469387755,0.23819257665411514,19.237118776609606,False,True
67284,ALKEM,EQ,2950.0,2952.75,2897.4,2920.55,2919.0,2937.2,287321,837594048.05,25-AUG-2022,11791,INE540L01014,2022-08-25,-3.302652054431679,3325.0,0,2022-08,3240.0,2974.65,2855.0,3251.1,-7.457184189649535,-10.707304486527903,0,0.0,13708834052.15,2022,2995.0,3004.7,2855.0,3400.0,-0.5165049829487257,-3.902792036217366,0,12.026359143327841,42388928310.05,-16.649999999999636,0.0,16.65,5.146938775510203,23.196428571428566,0.22188496645771474,18.159235324824948,False,True
70886,ALKEM,EQ,2855.0,2916.25,2855.0,2911.75,2914.45,2910.05,63193,183056315.15,29-AUG-2022,4927,INE540L01014,2022-08-29,-3.594013839684805,3325.0,0,2022-08,3240.0,2974.65,2855.0,3251.1,-7.457184189649535,-10.707304486527903,0,0.0,13708834052.15,2022,2995.0,3004.7,2855.0,3400.0,-0.5165049829487257,-3.902792036217366,0,12.026359143327841,42388928310.05,1.699999999999818,1.7,0.0,2.230612244897959,18.136989795918364,0.12298690521400342,10.951766636189419,False,True
71004,BALKRISIND,EQ,2000.0,2032.0,1975.0,2009.65,2015.35,2047.45,557397,1121186171.55,29-AUG-2022,24114,INE787D01026,2022-08-29,-7.476807624133887,2450.0,0,2022-08,2325.0,2046.05,1975.0,2450.0,-14.065814065814061,-14.548404542996215,0,1.7462987188272259,23529703702.65,2022,2125.0,2131.25,1796.3,2450.0,-1.8784097971962053,-14.847120170656556,0,12.436897659476823,92869564871.8,-37.799999999999955,0.0,37.8,5.379081632653061,26.153061224489797,0.2056769410846664,17.059042441305436,False,True
